uniprot_acc	uniprot	RefSeqId	Gene	Name
O00264	O00264	10857	PGRMC1	progesterone receptor membrane component 1
O00267	O00267	6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit
O00268	O00268	6874	TAF4	TATA-box binding protein associated factor 4
O00273	O00273	1676	DFFA	DNA fragmentation factor subunit alpha
O00287	O00287	5994	RFXAP	regulatory factor X associated protein
O00299	O00299	1192	CLIC1	chloride intracellular channel 1
O00303	O00303	8665	EIF3F	eukaryotic translation initiation factor 3 subunit F
O00308	O00308	11060	WWP2	WW domain containing E3 ubiquitin protein ligase 2
O00329	O00329	5293	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
O00330	O00330	8050	PDHX	pyruvate dehydrogenase complex component X
O00400	O00400	9197	SLC33A1	solute carrier family 33 member 1
O00410	O00410	3843	IPO5	importin 5
O00411	O00411	5442	POLRMT	RNA polymerase mitochondrial
O00418	O00418	29904	EEF2K	eukaryotic elongation factor 2 kinase
O00422	O00422	10284	SAP18	Sin3A associated protein 18
O00425	O00425	10643	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
O00429	O00429	10059	DNM1L	dynamin 1 like
O00442	O00442	8634	RTCA	RNA 3'-terminal phosphate cyclase
O00443	O00443	5286	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
O00458	O00458	3475	IFRD1	interferon related developmental regulator 1
O00459	O00459	5296	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2
O00461	O00461	27333	GOLIM4	golgi integral membrane protein 4
O00462	O00462	4126	MANBA	mannosidase beta
O00463	O00463	7188	TRAF5	TNF receptor associated factor 5
O00468	O00468	375790	AGRN	agrin
O00471	O00471	10640	EXOC5	exocyst complex component 5
O00472	O00472	22936	ELL2	elongation factor for RNA polymerase II 2
O00479	O00479	10473	HMGN4	high mobility group nucleosomal binding domain 4
O00483	O00483	4697	NDUFA4	NDUFA4, mitochondrial complex associated
O00487	O00487	10213	PSMD14	proteasome 26S subunit, non-ATPase 14
O00488	O00488	51042	ZNF593	zinc finger protein 593
O00499	O00499	274	BIN1	bridging integrator 1
O00505	O00505	3839	KPNA3	karyopherin subunit alpha 3
O00506	O00506	10494	STK25	serine/threonine kinase 25
O00515	O00515	3898	LAD1	ladinin 1
O00522	O00522	889	KRIT1	KRIT1, ankyrin repeat containing
O00541	O00541	23481	PES1	pescadillo ribosomal biogenesis factor 1
O00559	O00559	9166	EBAG9	estrogen receptor binding site associated, antigen, 9
O00562	O00562	9600	PITPNM1	phosphatidylinositol transfer protein membrane associated 1
O00566	O00566	10199	MPHOSPH10	M-phase phosphoprotein 10
O00567	O00567	10528	NOP56	NOP56 ribonucleoprotein
O00571	O00571	1654	DDX3X	DEAD-box helicase 3, X-linked
O00584	O00584	8635	RNASET2	ribonuclease T2
O00623	O00623	5193	PEX12	peroxisomal biogenesis factor 12
O00625	O00625	8544	PIR	pirin
O00626	O00626	6367	CCL22	C-C motif chemokine ligand 22
O00629	O00629	3840	KPNA4	karyopherin subunit alpha 4
O00635	O00635	10475	TRIM38	tripartite motif containing 38
O00743	O00743	5537	PPP6C	protein phosphatase 6 catalytic subunit
O00750	O00750	5287	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
O00754	O00754	4125	MAN2B1	mannosidase alpha class 2B member 1
O00764	O00764	8566	PDXK	pyridoxal kinase
O00767	O00767	6319	SCD	stearoyl-CoA desaturase
O14492	O14492	10603	SH2B2	SH2B adaptor protein 2
O14497	O14497	8289	ARID1A	AT-rich interaction domain 1A
O14521	O14521	6392	SDHD	succinate dehydrogenase complex subunit D
O14523	O14523	9854	C2CD2L	C2CD2 like
O14524	O14524	23306	NEMP1	nuclear envelope integral membrane protein 1
O14526	O14526	23149	FCHO1	FCH domain only 1
O14530	O14530	10190	TXNDC9	thioredoxin domain containing 9
O14545	O14545	10906	TRAFD1	TRAF-type zinc finger domain containing 1
O14548	O14548	9167	COX7A2L	cytochrome c oxidase subunit 7A2 like
O14561	O14561	4706	NDUFAB1	"NADH:ubiquinone oxidoreductase subunit AB1"
O14562	O14562	56061	UBFD1	ubiquitin family domain containing 1
O14578	O14578	11113	CIT	citron rho-interacting serine/threonine kinase
O14579	O14579	11316	COPE	coatomer protein complex subunit epsilon
O14602	O14602	9086	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked
O14617	O14617	8943	AP3D1	adaptor related protein complex 3 delta 1 subunit
O14618	O14618	9973	CCS	copper chaperone for superoxide dismutase
O14641	O14641	1856	DVL2	dishevelled segment polarity protein 2
O14646	O14646	1105	CHD1	chromodomain helicase DNA binding protein 1
O14647	O14647	1106	CHD2	chromodomain helicase DNA binding protein 2
O14653	O14653	9570	GOSR2	golgi SNAP receptor complex member 2
O14656	O14656	1861	TOR1A	torsin family 1 member A
O14657	O14657	27348	TOR1B	torsin family 1 member B
O14662	O14662	8675	STX16	syntaxin 16
O14672	O14672	102	ADAM10	ADAM metallopeptidase domain 10
O14681	O14681	9538	EI24	EI24, autophagy associated transmembrane protein
O14686	O14686	8085	KMT2D	lysine methyltransferase 2D
O14727	O14727	317	APAF1	apoptotic peptidase activating factor 1
O14730	O14730	8780	RIOK3	RIO kinase 3
O14733	O14733	5609	MAP2K7	mitogen-activated protein kinase kinase 7
O14734	O14734	10005	ACOT8	acyl-CoA thioesterase 8
O14735	O14735	10423	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
O14737	O14737	9141	PDCD5	programmed cell death 5
O14744	O14744	10419	PRMT5	protein arginine methyltransferase 5
O14745	O14745	9368	SLC9A3R1	SLC9A3 regulator 1
O14757	O14757	1111	CHEK1	checkpoint kinase 1
O14772	O14772	8790	FPGT	fucose-1-phosphate guanylyltransferase
O14773	O14773	1200	TPP1	tripeptidyl peptidase 1
O14776	O14776	10915	TCERG1	transcription elongation regulator 1
O14777	O14777	10403	NDC80	NDC80, kinetochore complex component
O14787	O14787	30000	TNPO2	transportin 2
O14788	O14788	8600	TNFSF11	TNF superfamily member 11
O14795	O14795	10497	UNC13B	unc-13 homolog B
O14802	O14802	11128	POLR3A	RNA polymerase III subunit A
O14818	O14818	5688	PSMA7	proteasome subunit alpha 7
O14828	O14828	10067	SCAMP3	secretory carrier membrane protein 3
O14836	O14836	23495	TNFRSF13B	TNF receptor superfamily member 13B
O14862	O14862	9447	AIM2	absent in melanoma 2
O14874	O14874	10295	BCKDK	branched chain ketoacid dehydrogenase kinase
O14879	O14879	3437	IFIT3	interferon induced protein with tetratricopeptide repeats 3
O14880	O14880	4259	MGST3	microsomal glutathione S-transferase 3
O14893	O14893	8487	GEMIN2	gem nuclear organelle associated protein 2
O14907	O14907	30851	TAX1BP3	Tax1 binding protein 3
O14908	O14908	10755	GIPC1	GIPC PDZ domain containing family member 1
O14920	O14920	3551	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta
O14929	O14929	8520	HAT1	histone acetyltransferase 1
O14933	O14933	9246	UBE2L6	ubiquitin conjugating enzyme E2 L6
O14949	O14949	27089	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII
O14964	O14964	9146	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate
O14965	O14965	6790	AURKA	aurora kinase A
O14966	O14966	8934	RAB29	RAB29, member RAS oncogene family
O14972	O14972	10311	DSCR3	DSCR3 arrestin fold containing
O14974	O14974	4659	PPP1R12A	protein phosphatase 1 regulatory subunit 12A
O14976	O14976	2580	GAK	cyclin G associated kinase
O14979	O14979	9987	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like
O14980	O14980	7514	XPO1	exportin 1
O14981	O14981	9044	BTAF1	B-TFIID TATA-box binding protein associated factor 1
O14986	O14986	8395	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta
O15014	O15014	23060	ZNF609	zinc finger protein 609
O15027	O15027	9919	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor
O15031	O15031	23654	PLXNB2	plexin B2
O15037	O15037	23351	KHNYN	KH and NYN domain containing
O15042	O15042	23350	U2SURP	U2 snRNP associated SURP domain containing
O15047	O15047	9739	SETD1A	SET domain containing 1A
O15066	O15066	9371	KIF3B	kinesin family member 3B
O15067	O15067	5198	PFAS	phosphoribosylformylglycinamidine synthase
O15078	O15078	80184	CEP290	centrosomal protein 290
O15084	O15084	23243	ANKRD28	ankyrin repeat domain 28
O15091	O15091	9692	KIAA0391	KIAA0391
O15111	O15111	1147	CHUK	conserved helix-loop-helix ubiquitous kinase
O15118	O15118	4864	NPC1	NPC intracellular cholesterol transporter 1
O15120	O15120	10555	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
O15121	O15121	8560	DEGS1	delta 4-desaturase, sphingolipid 1
O15126	O15126	9522	SCAMP1	secretory carrier membrane protein 1
O15127	O15127	10066	SCAMP2	secretory carrier membrane protein 2
O15143	O15143	10095	ARPC1B	actin related protein 2/3 complex subunit 1B
O15144	O15144	10109	ARPC2	actin related protein 2/3 complex subunit 2
O15145	O15145	10094	ARPC3	actin related protein 2/3 complex subunit 3
O15151	O15151	4194	MDM4	MDM4, p53 regulator
O15155	O15155	10282	BET1	Bet1 golgi vesicular membrane trafficking protein
O15160	O15160	9533	POLR1C	RNA polymerase I subunit C
O15162	O15162	5359	PLSCR1	phospholipid scramblase 1
O15164	O15164	8805	TRIM24	tripartite motif containing 24
O15173	O15173	10424	PGRMC2	progesterone receptor membrane component 2
O15182	O15182	1070	CETN3	centrin 3
O15212	O15212	10471	PFDN6	prefoldin subunit 6
O15213	O15213	9277	WDR46	WD repeat domain 46
O15226	O15226	55922	NKRF	NFKB repressing factor
O15228	O15228	8443	GNPAT	glyceronephosphate O-acyltransferase
O15229	O15229	8564	KMO	kynurenine 3-monooxygenase
O15234	O15234	22794	CASC3	cancer susceptibility 3
O15235	O15235	6183	MRPS12	mitochondrial ribosomal protein S12
O15247	O15247	1193	CLIC2	chloride intracellular channel 2
O15254	O15254	8310	ACOX3	acyl-CoA oxidase 3, pristanoyl
O15258	O15258	11079	RER1	retention in endoplasmic reticulum sorting receptor 1
O15260	O15260	6836	SURF4	surfeit 4
O15265	O15265	6314	ATXN7	ataxin 7
O15269	O15269	10558	SPTLC1	serine palmitoyltransferase long chain base subunit 1
O15270	O15270	9517	SPTLC2	serine palmitoyltransferase long chain base subunit 2
O15294	O15294	8473	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase
O15305	O15305	5373	PMM2	phosphomannomutase 2
O15318	O15318	10622	POLR3G	RNA polymerase III subunit G
O15321	O15321	10548	TM9SF1	transmembrane 9 superfamily member 1
O15347	O15347	3149	HMGB3	high mobility group box 3
O15355	O15355	5496	PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G
O15357	O15357	3636	INPPL1	inositol polyphosphate phosphatase like 1
O15360	O15360	2175	FANCA	Fanconi anemia complementation group A
O15371	O15371	8664	EIF3D	eukaryotic translation initiation factor 3 subunit D
O15372	O15372	8667	EIF3H	eukaryotic translation initiation factor 3 subunit H
O15379	O15379	8841	HDAC3	histone deacetylase 3
O15381	O15381	4931	NVL	nuclear VCP-like
O15382	O15382	587	BCAT2	branched chain amino acid transaminase 2
O15397	O15397	10526	IPO8	importin 8
O15400	O15400	8417	STX7	syntaxin 7
O15417	O15417	84629	TNRC18	trinucleotide repeat containing 18
O15427	O15427	9123	SLC16A3	solute carrier family 16 member 3
O15439	O15439	10257	ABCC4	ATP binding cassette subfamily C member 4
O15446	O15446	10849	CD3EAP	CD3e molecule associated protein
O15498	O15498	10652	YKT6	YKT6 v-SNARE homolog
O15504	O15504	11097	NUPL2	nucleoporin like 2
O15511	O15511	10092	ARPC5	actin related protein 2/3 complex subunit 5
O15514	O15514	5433	POLR2D	RNA polymerase II subunit D
O15519	O15519	8837	CFLAR	CASP8 and FADD like apoptosis regulator
O15523	O15523	8653	DDX3Y	DEAD-box helicase 3, Y-linked
O15530	O15530	5170	PDPK1	3-phosphoinositide dependent protein kinase 1
O15533	O15533	6892	TAPBP	TAP binding protein
O15541	O15541	7737	RNF113A	ring finger protein 113A
O15550	O15550	7403	KDM6A	lysine demethylase 6A
O15554	O15554	3783	KCNN4	potassium calcium-activated channel subfamily N member 4
O43143	O43143	1665	DHX15	DEAH-box helicase 15
O43148	O43148	8731	RNMT	RNA guanine-7 methyltransferase
O43149	O43149	23140	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1
O43156	O43156	9675	TTI1	TELO2 interacting protein 1
O43159	O43159	23378	RRP8	ribosomal RNA processing 8
O43164	O43164	9867	PJA2	praja ring finger ubiquitin ligase 2
O43166	O43166	26037	SIPA1L1	signal induced proliferation associated 1 like 1
O43167	O43167	9841	ZBTB24	zinc finger and BTB domain containing 24
O43169	O43169	80777	CYB5B	cytochrome b5 type B
O43172	O43172	9128	PRPF4	pre-mRNA processing factor 4
O43175	O43175	26227	PHGDH	phosphoglycerate dehydrogenase
O43181	O43181	4724	NDUFS4	"NADH:ubiquinone oxidoreductase subunit S4"
O43189	O43189	5252	PHF1	PHD finger protein 1
O43237	O43237	1783	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2
O43242	O43242	5709	PSMD3	proteasome 26S subunit, non-ATPase 3
O43252	O43252	9061	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
O43264	O43264	9183	ZW10	zw10 kinetochore protein
O43290	O43290	9092	SART1	SART1, U4/U6.U5 tri-snRNP-associated protein 1
O43292	O43292	8733	GPAA1	glycosylphosphatidylinositol anchor attachment 1
O43298	O43298	23099	ZBTB43	zinc finger and BTB domain containing 43
O43299	O43299	9907	AP5Z1	adaptor related protein complex 5 zeta 1 subunit
O43303	O43303	9738	CCP110	centriolar coiled-coil protein 110
O43310	O43310	9811	CTIF	cap binding complex dependent translation initiation factor
O43314	O43314	23262	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2
O43318	O43318	6885	MAP3K7	mitogen-activated protein kinase kinase kinase 7
O43324	O43324	9521	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1
O43325	O43325	57149	LYRM1	LYR motif containing 1
O43353	O43353	8767	RIPK2	receptor interacting serine/threonine kinase 2
O43379	O43379	284403	WDR62	WD repeat domain 62
O43390	O43390	10236	HNRNPR	heterogeneous nuclear ribonucleoprotein R
O43395	O43395	9129	PRPF3	pre-mRNA processing factor 3
O43396	O43396	9352	TXNL1	thioredoxin like 1
O43399	O43399	7165	TPD52L2	tumor protein D52 like 2
O43402	O43402	10328	EMC8	ER membrane protein complex subunit 8
O43414	O43414	79033	ERI3	ERI1 exoribonuclease family member 3
O43422	O43422	5612	THAP12	THAP domain containing 12
O43426	O43426	8867	SYNJ1	synaptojanin 1
O43427	O43427	9158	FIBP	FGF1 intracellular binding protein
O43432	O43432	8672	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
O43447	O43447	10465	PPIH	peptidylprolyl isomerase H
O43463	O43463	6839	SUV39H1	suppressor of variegation 3-9 homolog 1
O43464	O43464	27429	HTRA2	HtrA serine peptidase 2
O43488	O43488	8574	AKR7A2	aldo-keto reductase family 7 member A2
O43491	O43491	2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2
O43493	O43493	10618	TGOLN2	trans-golgi network protein 2
O43513	O43513	9443	MED7	mediator complex subunit 7
O43516	O43516	7456	WIPF1	WAS/WASL interacting protein family member 1
O43557	O43557	8740	TNFSF14	TNF superfamily member 14
O43566	O43566	10636	RGS14	regulator of G protein signaling 14
O43567	O43567	11342	RNF13	ring finger protein 13
O43572	O43572	11216	AKAP10	A-kinase anchoring protein 10
O43583	O43583	8562	DENR	density regulated re-initiation and release factor
O43586	O43586	9051	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1
O43592	O43592	11260	XPOT	exportin for tRNA
O43598	O43598	10591	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
O43615	O43615	10469	TIMM44	translocase of inner mitochondrial membrane 44
O43617	O43617	27095	TRAPPC3	trafficking protein particle complex 3
O43633	O43633	27243	CHMP2A	charged multivesicular body protein 2A
O43639	O43639	8440	NCK2	NCK adaptor protein 2
O43660	O43660	5356	PLRG1	pleiotropic regulator 1
O43663	O43663	9055	PRC1	protein regulator of cytokinesis 1
O43665	O43665	6001	RGS10	regulator of G protein signaling 10
O43670	O43670	7756	ZNF207	zinc finger protein 207
O43674	O43674	4711	NDUFB5	"NADH:ubiquinone oxidoreductase subunit B5"
O43676	O43676	4709	NDUFB3	"NADH:ubiquinone oxidoreductase subunit B3"
O43678	O43678	4695	NDUFA2	"NADH:ubiquinone oxidoreductase subunit A2"
O43681	O43681	439	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
O43683	O43683	699	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
O43684	O43684	9184	BUB3	BUB3, mitotic checkpoint protein
O43707	O43707	81	ACTN4	actinin alpha 4
O43708	O43708	2954	GSTZ1	glutathione S-transferase zeta 1
O43709	O43709	114049	BUD23	BUD23, rRNA methyltransferase and ribosome maturation factor
O43715	O43715	51499	TRIAP1	TP53 regulated inhibitor of apoptosis 1
O43716	O43716	283459	GATC	glutamyl-tRNA amidotransferase subunit C
O43719	O43719	27336	HTATSF1	HIV-1 Tat specific factor 1
O43734	O43734	10758	TRAF3IP2	TRAF3 interacting protein 2
O43736	O43736	9452	ITM2A	integral membrane protein 2A
O43747	O43747	164	AP1G1	adaptor related protein complex 1 gamma 1 subunit
O43752	O43752	10228	STX6	syntaxin 6
O43760	O43760	9144	SYNGR2	synaptogyrin 2
O43761	O43761	9143	SYNGR3	synaptogyrin 3
O43765	O43765	6449	SGTA	small glutamine rich tetratricopeptide repeat containing alpha
O43766	O43766	11019	LIAS	lipoic acid synthetase
O43768	O43768	2029	ENSA	endosulfine alpha
O43772	O43772	788	SLC25A20	solute carrier family 25 member 20
O43776	O43776	4677	"NARS"	asparaginyl-tRNA synthetase
O43805	O43805	8636	SSNA1	SS nuclear autoantigen 1
O43808	O43808	10478	SLC25A17	solute carrier family 25 member 17
O43809	O43809	11051	NUDT21	nudix hydrolase 21
O43813	O43813	10314	LANCL1	LanC like 1
O43815	O43815	6801	STRN	striatin
O43818	O43818	9136	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein
O43819	O43819	9997	SCO2	SCO2, cytochrome c oxidase assembly protein
O43822	O43822	755	C21orf2	chromosome 21 open reading frame 2
O43823	O43823	10270	AKAP8	A-kinase anchoring protein 8
O43824	O43824	8225	GTPBP6	GTP binding protein 6 (putative)
O43826	O43826	2542	SLC37A4	solute carrier family 37 member 4
O43837	O43837	3420	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta
O43847	O43847	4898	NRDC	nardilysin convertase
O43852	O43852	813	CALU	calumenin
O43861	O43861	374868	ATP9B	ATPase phospholipid transporting 9B (putative)
O43865	O43865	10768	AHCYL1	adenosylhomocysteinase like 1
O43896	O43896	10749	KIF1C	kinesin family member 1C
O43913	O43913	5001	ORC5	origin recognition complex subunit 5
O43920	O43920	4725	NDUFS5	"NADH:ubiquinone oxidoreductase subunit S5"
O43924	O43924	5147	PDE6D	phosphodiesterase 6D
O43929	O43929	5000	ORC4	origin recognition complex subunit 4
O43933	O43933	5189	PEX1	peroxisomal biogenesis factor 1
O43934	O43934	79157	MFSD11	major facilitator superfamily domain containing 11
O60216	O60216	5885	RAD21	RAD21 cohesin complex component
O60220	O60220	1678	TIMM8A	translocase of inner mitochondrial membrane 8A
O60231	O60231	8449	DHX16	DEAH-box helicase 16
O60232	O60232	10534	SSSCA1	Sjogren syndrome/scleroderma autoantigen 1
O60234	O60234	9535	GMFG	glia maturation factor gamma
O60244	O60244	9282	MED14	mediator complex subunit 14
O60256	O60256	5636	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2
O60262	O60262	2788	GNG7	G protein subunit gamma 7
O60264	O60264	8467	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
O60271	O60271	9043	SPAG9	sperm associated antigen 9
O60281	O60281	23036	ZNF292	zinc finger protein 292
O60287	O60287	9875	URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
O60291	O60291	23295	MGRN1	mahogunin ring finger 1
O60292	O60292	23094	SIPA1L3	signal induced proliferation associated 1 like 3
O60293	O60293	196441	ZFC3H1	zinc finger C3H1-type containing
O60294	O60294	9836	LCMT2	leucine carboxyl methyltransferase 2
O60306	O60306	9716	AQR	aquarius intron-binding spliceosomal factor
O60307	O60307	23031	MAST3	microtubule associated serine/threonine kinase 3
O60313	O60313	4976	OPA1	OPA1, mitochondrial dynamin like GTPase
O60318	O60318	8888	MCM3AP	minichromosome maintenance complex component 3 associated protein
O60331	O60331	23396	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
O60333	O60333	23095	KIF1B	kinesin family member 1B
O60341	O60341	23028	KDM1A	lysine demethylase 1A
O60343	O60343	9882	TBC1D4	TBC1 domain family member 4
O60361	O60361	NA	NA	NA
O60427	O60427	3992	FADS1	fatty acid desaturase 1
O60443	O60443	1687	GSDME	gasdermin E
O60449	O60449	4065	LY75	lymphocyte antigen 75
O60476	O60476	10905	MAN1A2	mannosidase alpha class 1A member 2
O60488	O60488	2182	ACSL4	acyl-CoA synthetase long chain family member 4
O60493	O60493	8724	SNX3	sorting nexin 3
O60496	O60496	9046	DOK2	docking protein 2
O60499	O60499	8677	STX10	syntaxin 10
O60502	O60502	10724	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
O60506	O60506	10492	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein
O60508	O60508	51362	CDC40	cell division cycle 40
O60512	O60512	8703	B4GALT3	beta-1,4-galactosyltransferase 3
O60518	O60518	26953	RANBP6	RAN binding protein 6
O60524	O60524	9147	NEMF	nuclear export mediator factor
O60547	O60547	2762	GMDS	GDP-mannose 4,6-dehydratase
O60551	O60551	9397	NMT2	N-myristoyltransferase 2
O60563	O60563	904	CCNT1	cyclin T1
O60566	O60566	701	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
O60568	O60568	8985	PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
O60573	O60573	9470	EIF4E2	eukaryotic translation initiation factor 4E family member 2
O60583	O60583	905	CCNT2	cyclin T2
O60610	O60610	1729	DIAPH1	diaphanous related formin 1
O60613	O60613	9403	SELENOF	selenoprotein F
O60637	O60637	10099	TSPAN3	tetraspanin 3
O60645	O60645	11336	EXOC3	exocyst complex component 3
O60658	O60658	5151	PDE8A	phosphodiesterase 8A
O60664	O60664	10226	PLIN3	perilipin 3
O60669	O60669	9194	SLC16A7	solute carrier family 16 member 7
O60671	O60671	5810	RAD1	RAD1 checkpoint DNA exonuclease
O60674	O60674	3717	JAK2	Janus kinase 2
O60678	O60678	10196	PRMT3	protein arginine methyltransferase 3
O60682	O60682	9242	MSC	musculin
